40.00,10.35 
40.01,10.42 
40.02,10.41 
40.03,10.36 
40.04,10.28 
40.05,10.22 
40.06,10.18 
40.07,10.17 
40.08,10.17 
40.09,10.19 
40.10,10.19 
40.11,10.16 
40.12,10.13 
40.13,10.09 
40.14,10.04 
40.15,10.00 
40.16,9.95 
40.17,9.93 
40.18,9.95 
40.19,9.97 
40.20,10.02 
40.21,10.08 
40.22,10.11 
40.23,10.10 
40.24,10.12 
40.25,10.17 
40.26,10.17 
40.27,10.13 
40.28,10.08 
40.29,10.09 
40.30,10.12 
40.31,10.21 
40.32,10.26 
40.33,10.22 
40.34,10.17 
40.35,10.21 
40.36,10.30 
40.37,10.30 
40.38,10.27 
40.39,10.25 
40.40,10.24 
40.41,10.19 
40.42,10.12 
40.43,10.08 
40.44,9.99 
40.45,9.99 
40.46,10.03 
40.47,10.01 
40.48,9.93 
40.49,9.92 
40.50,9.95 
40.51,9.86 
40.52,9.73 
40.53,9.65 
40.54,9.72 
40.55,9.84 
40.56,9.77 
40.57,9.70 
40.58,9.51 
40.59,9.39 
40.60,9.68 
40.61,9.70 
40.62,9.60 
40.63,9.27 
40.64,9.23 
40.65,9.39 
40.66,9.40 
40.67,9.41 
40.68,9.42 
40.69,9.73 
40.70,9.76 
40.71,9.69 
40.72,9.73 
40.73,9.81 
40.74,9.95 
40.75,10.01 
40.76,9.99 
40.77,10.03 
40.78,10.66 
40.79,11.15 
40.80,10.73 
40.81,10.49 
40.82,10.86 
40.83,10.56 
40.84,10.18 
40.85,10.56 
40.86,10.47 
40.87,10.01 
40.88,9.94 
40.89,10.08 
40.90,9.66 
40.91,8.78 
40.92,8.85 
40.93,9.55 
40.94,10.10 
40.95,10.01 
40.96,9.35 
40.97,9.32 
40.98,9.48 
40.99,9.67 
41.00,9.85 
41.01,9.77 
41.02,9.59 
41.03,9.24 
41.04,9.38 
41.05,9.53 
41.06,10.03 
41.07,10.37 
41.08,10.77 
41.09,10.59 
41.10,10.67 
41.11,10.35 
41.12,10.35 
41.13,10.40 
41.14,10.40 
41.15,10.53 
41.16,10.52 
41.17,10.80 
41.18,10.44 
41.19,10.00 
41.20,9.59 
41.21,9.49 
41.22,10.01 
41.23,10.21 
41.24,10.36 
41.25,9.88 
41.26,9.80 
41.27,9.67 
41.28,9.92 
41.29,9.89 
41.30,9.83 
41.31,9.82 
41.32,10.32 
41.33,10.56 
41.34,11.01 
41.35,11.00 
41.36,11.27 
41.37,11.42 
41.38,10.98 
41.39,10.15 
41.40,7.03 
41.41,7.12 
41.42,10.98 
41.43,11.48 
41.44,10.09 
41.45,9.91 
41.46,9.37 
41.47,9.95 
41.48,10.59 
41.49,10.36 
41.50,9.77 
41.51,10.24 
41.52,10.55 
41.53,10.38 
41.54,10.34 
41.55,10.32 
41.56,9.88 
41.57,10.14 
41.58,10.14 
41.59,10.15 
41.60,9.93 
41.61,10.06 
41.62,10.01 
41.63,10.00 
41.64,10.07 
41.65,10.13 
41.66,9.96 
41.67,9.96 
41.68,10.01 
41.69,9.87 
41.70,9.88 
41.71,9.89 
41.72,10.00 
41.73,9.96 
41.74,10.14 
41.75,10.10 
41.76,10.26 
41.77,10.19 
41.78,10.30 
41.79,10.12 
41.80,10.07 
41.81,9.96 
41.82,9.83 
41.83,10.19 
41.84,9.98 
41.85,10.11 
41.86,10.09 
41.87,10.21 
41.88,10.17 
41.89,10.18 
41.90,10.35 
41.91,10.23 
41.92,10.33 
41.93,10.36 
41.94,10.06 
41.95,10.05 
41.96,9.81 
41.97,9.96 
41.98,9.93 
41.99,9.96 
42.00,10.12 
42.01,10.07 
42.02,10.05 
42.03,10.02 
42.04,9.99 
42.05,10.10 
42.06,9.94 
42.07,9.95 
42.08,9.99 
42.09,9.67 
42.10,9.70 
42.11,9.73 
42.12,9.89 
42.13,9.96 
42.14,9.88 
42.15,10.08 
42.16,10.34 
42.17,10.34 
42.18,10.29 
42.19,10.50 
42.20,10.49 
42.21,10.31 
42.22,10.31 
42.23,10.20 
42.24,10.01 
42.25,10.01 
42.26,10.05 
42.27,10.20 
42.28,10.49 
42.29,10.12 
42.30,10.05 
42.31,9.67 
42.32,9.56 
42.33,9.33 
42.34,9.67 
42.35,9.83 
42.36,9.84 
42.37,9.75 
42.38,9.52 
42.39,9.73 
42.40,9.96 
42.41,10.21 
42.42,10.37 
42.43,10.42 
42.44,10.30 
42.45,10.30 
42.46,10.24 
42.47,10.46 
42.48,10.61 
42.49,10.44 
42.50,10.14 
42.51,9.84 
42.52,9.87 
42.53,9.90 
42.54,9.89 
42.55,9.85 
42.56,10.07 
42.57,10.19 
42.58,10.18 
42.59,10.08 
42.60,10.15 
42.61,10.14 
42.62,10.02 
42.63,10.02 
42.64,10.01 
42.65,10.08 
42.66,10.18 
42.67,10.08 
42.68,10.01 
42.69,10.19 
42.70,10.24 
42.71,10.26 
42.72,10.18 
42.73,10.12 
42.74,10.16 
42.75,10.30 
42.76,10.34 
42.77,10.34 
42.78,10.23 
42.79,10.03 
42.80,10.05 
42.81,10.12 
42.82,10.22 
42.83,10.20 
42.84,10.18 
42.85,10.43 
42.86,10.77 
42.87,10.64 
42.88,10.39 
42.89,10.10 
42.90,10.24 
42.91,10.33 
42.92,10.35 
42.93,10.29 
42.94,10.36 
